unix,date,open,high,low,close,volume_base
1662993000,2022-09-12 14:30:00,22392.19,22408.72,22293.88,22316.39,6871.1406
1662994800,2022-09-12 15:00:00,22316.4,22340.46,22226.66,22324.26,6988.96488
1662996600,2022-09-12 15:30:00,22325.44,22347.0,22000.0,22114.5,11220.51581
1663061400,2022-09-13 09:30:00,22351.81,22433.92,22345.39,22381.47,8092.06205
1663063200,2022-09-13 10:00:00,22382.38,22482.75,22347.82,22477.74,6420.27666
1663065000,2022-09-13 10:30:00,22477.73,22596.0,22442.08,22531.18,8585.49467
1663066800,2022-09-13 11:00:00,22531.96,22713.92,22513.33,22649.29,9745.24844
1663068600,2022-09-13 11:30:00,22649.96,22663.45,22482.0,22522.74,10585.65863
1663070400,2022-09-13 12:00:00,22522.74,22790.73,22495.0,22713.69,12519.66105
1663072200,2022-09-13 12:30:00,22713.69,22799.0,21342.0,21398.32,31447.20341
1663074000,2022-09-13 13:00:00,21398.32,21520.0,21258.36,21335.26,15529.65058
1663075800,2022-09-13 13:30:00,21335.26,21502.09,21171.22,21193.61,15703.17745
1663077600,2022-09-13 14:00:00,21196.25,21263.27,21056.34,21200.22,13479.70695
1663079400,2022-09-13 14:30:00,21200.22,21213.82,20850.76,21010.72,15669.71617
1663081200,2022-09-13 15:00:00,21009.74,21069.3,20830.92,20920.01,11986.42273
1663083000,2022-09-13 15:30:00,20918.33,20992.47,20751.0,20829.77,10917.96855
1663147800,2022-09-14 09:30:00,20380.53,20405.0,20311.93,20347.79,5164.24475
1663149600,2022-09-14 10:00:00,20347.79,20388.15,20328.4,20332.68,4872.93605
1663151400,2022-09-14 10:30:00,20331.77,20374.14,20310.06,20340.78,4879.60575
1663153200,2022-09-14 11:00:00,20340.0,20362.08,20283.39,20298.35,5767.04642
1663155000,2022-09-14 11:30:00,20298.35,20319.9,20091.19,20225.35,9243.16109
1663156800,2022-09-14 12:00:00,20224.74,20248.93,20070.0,20213.81,12004.65995
1663158600,2022-09-14 12:30:00,20213.81,20347.91,20126.01,20309.11,11487.28458
1663160400,2022-09-14 13:00:00,20309.08,20389.99,20271.64,20338.89,9234.49869
1663162200,2022-09-14 13:30:00,20337.37,20355.0,20182.44,20310.64,12025.80092
1663164000,2022-09-14 14:00:00,20310.64,20316.76,20116.24,20119.73,10467.32683
1663165800,2022-09-14 14:30:00,20121.71,20300.96,20104.02,20293.6,11005.37084
1663167600,2022-09-14 15:00:00,20292.56,20332.09,20216.12,20225.41,8396.32192
1663169400,2022-09-14 15:30:00,20225.41,20269.99,20150.0,20178.79,7549.18774
1663234200,2022-09-15 09:30:00,20064.84,20199.75,20059.29,20132.4,5710.36789
1663236000,2022-09-15 10:00:00,20133.01,20209.97,20102.8,20191.25,4585.84463
1663237800,2022-09-15 10:30:00,20191.91,20197.29,20103.4,20155.71,5602.67261
1663239600,2022-09-15 11:00:00,20154.89,20200.0,20085.97,20186.59,6056.6629
1663241400,2022-09-15 11:30:00,20186.59,20197.22,20137.0,20148.35,4528.66121
1663243200,2022-09-15 12:00:00,20149.59,20173.13,20060.0,20084.01,5257.03218
1663245000,2022-09-15 12:30:00,20082.79,20194.12,20070.0,20126.84,8554.08697
1663246800,2022-09-15 13:00:00,20125.65,20141.19,19990.66,20028.44,6772.31572
1663248600,2022-09-15 13:30:00,20026.74,20148.86,19985.3,20119.47,9343.93964
1663250400,2022-09-15 14:00:00,20119.47,20175.4,20021.47,20040.99,8199.69941
1663252200,2022-09-15 14:30:00,20040.99,20081.51,19643.01,19703.51,16940.5483
1663254000,2022-09-15 15:00:00,19706.02,19789.71,19497.0,19751.31,15554.81075
1663255800,2022-09-15 15:30:00,19752.09,19848.0,19692.56,19737.36,10830.57541
1663320600,2022-09-16 09:30:00,19740.15,19790.99,19724.44,19757.54,4245.38053
1663322400,2022-09-16 10:00:00,19757.54,19801.51,19740.3,19787.42,4094.62681
1663324200,2022-09-16 10:30:00,19787.42,19844.41,19776.34,19795.79,5135.78204
1663326000,2022-09-16 11:00:00,19795.01,19820.0,19774.55,19795.21,4504.08738
1663327800,2022-09-16 11:30:00,19795.21,19890.0,19777.7,19867.82,6144.95191
1663329600,2022-09-16 12:00:00,19868.75,19875.61,19792.32,19798.2,4991.61257
1663331400,2022-09-16 12:30:00,19798.2,19810.0,19674.69,19689.85,7384.60966
1663333200,2022-09-16 13:00:00,19689.39,19775.31,19683.01,19766.35,6068.7073
1663335000,2022-09-16 13:30:00,19766.35,19776.62,19442.76,19526.78,12732.14229
1663336800,2022-09-16 14:00:00,19527.24,19756.39,19497.64,19634.08,11328.4022
1663338600,2022-09-16 14:30:00,19634.08,19800.0,19629.33,19661.82,11031.81169
1663340400,2022-09-16 15:00:00,19661.82,19745.03,19632.05,19716.19,7926.59431
1663342200,2022-09-16 15:30:00,19717.22,19742.52,19571.0,19661.24,8158.36442
1663407000,2022-09-17 09:30:00,19888.61,19889.96,19860.57,19876.42,2752.76948
1663408800,2022-09-17 10:00:00,19875.59,19902.86,19850.02,19853.83,3413.70024
1663410600,2022-09-17 10:30:00,19852.94,19873.49,19811.58,19863.67,4700.75286
1663412400,2022-09-17 11:00:00,19864.44,19873.17,19832.32,19862.45,3323.68518
1663414200,2022-09-17 11:30:00,19861.64,19868.44,19806.64,19810.22,3375.34828
1663416000,2022-09-17 12:00:00,19810.22,19840.0,19748.08,19832.67,5157.30378
1663417800,2022-09-17 12:30:00,19832.08,19876.69,19817.99,19858.42,3763.66665
1663419600,2022-09-17 13:00:00,19858.42,19879.5,19844.06,19870.31,2887.96071
1663421400,2022-09-17 13:30:00,19871.24,19907.99,19864.08,19899.3,3344.19343
1663423200,2022-09-17 14:00:00,19899.3,19957.46,19893.4,19944.57,4204.52121
1663425000,2022-09-17 14:30:00,19944.57,19952.8,19872.33,19922.89,4198.25346
1663426800,2022-09-17 15:00:00,19922.89,19928.0,19879.17,19923.79,3018.50415
1663428600,2022-09-17 15:30:00,19923.79,20037.99,19917.08,19963.34,4872.75603
1663493400,2022-09-18 09:30:00,20017.19,20027.49,19800.0,19833.34,9320.80983
1663495200,2022-09-18 10:00:00,19833.95,20043.61,19765.01,19988.36,10729.3155
1663497000,2022-09-18 10:30:00,19988.36,20037.0,19884.96,19916.48,6248.51288
1663498800,2022-09-18 11:00:00,19915.39,19950.46,19878.33,19927.55,4806.6077
1663500600,2022-09-18 11:30:00,19927.55,19945.0,19908.4,19922.92,3217.69011
1663502400,2022-09-18 12:00:00,19922.29,19938.92,19850.91,19915.24,4509.83521
1663504200,2022-09-18 12:30:00,19914.26,20029.81,19906.87,19989.29,6469.19114
1663506000,2022-09-18 13:00:00,19988.92,20011.36,19952.44,19959.82,4006.50921
1663507800,2022-09-18 13:30:00,19959.14,20015.0,19938.77,19963.04,4356.21147
1663509600,2022-09-18 14:00:00,19963.66,19967.08,19843.3,19906.42,5934.10684
1663511400,2022-09-18 14:30:00,19905.38,19915.54,19725.0,19810.95,8508.29528
1663513200,2022-09-18 15:00:00,19810.95,19862.46,19772.92,19857.91,6620.49062
1663515000,2022-09-18 15:30:00,19857.91,19877.18,19785.91,19814.63,5482.08888
1663579800,2022-09-19 09:30:00,18411.55,18473.77,18395.53,18463.09,6330.06048
1663581600,2022-09-19 10:00:00,18462.12,18587.45,18438.05,18553.25,7141.48646
1663583400,2022-09-19 10:30:00,18554.19,18786.9,18517.4,18777.36,13535.16945
1663585200,2022-09-19 11:00:00,18777.71,18800.0,18617.02,18626.09,10738.46999
1663587000,2022-09-19 11:30:00,18626.09,18733.26,18620.83,18684.87,6888.86126
1663588800,2022-09-19 12:00:00,18685.77,18763.37,18676.47,18686.28,7348.4005
1663590600,2022-09-19 12:30:00,18688.05,18865.3,18682.22,18818.93,8471.92889
1663592400,2022-09-19 13:00:00,18818.93,18852.94,18739.49,18753.62,6716.00317
1663594200,2022-09-19 13:30:00,18753.62,19180.0,18751.51,19107.19,14215.39722
1663596000,2022-09-19 14:00:00,19107.19,19331.5,19017.56,19269.86,12218.99688
1663597800,2022-09-19 14:30:00,19268.81,19433.48,19205.0,19303.37,14460.54083
1663599600,2022-09-19 15:00:00,19303.37,19346.59,19100.0,19171.26,12526.46624
1663601400,2022-09-19 15:30:00,19170.86,19207.57,19051.0,19080.49,8171.27251
1663666200,2022-09-20 09:30:00,19274.57,19318.65,19150.0,19229.99,7066.57277
1663668000,2022-09-20 10:00:00,19230.75,19274.8,19174.76,19270.51,5879.60051
1663669800,2022-09-20 10:30:00,19271.3,19320.0,19239.83,19309.83,5009.10833
1663671600,2022-09-20 11:00:00,19310.36,19326.35,19264.9,19288.02,5050.02764
1663673400,2022-09-20 11:30:00,19287.19,19344.99,19201.19,19219.49,6568.84141
1663675200,2022-09-20 12:00:00,19219.49,19230.38,19056.53,19071.86,9898.99084
1663677000,2022-09-20 12:30:00,19070.91,19155.85,19058.0,19124.94,7091.36194
1663678800,2022-09-20 13:00:00,19125.86,19137.11,18855.98,18886.81,9530.25029
1663680600,2022-09-20 13:30:00,18886.81,18995.22,18777.0,18921.37,12146.38835
1663682400,2022-09-20 14:00:00,18922.57,19022.07,18870.07,18993.2,10765.83898
1663684200,2022-09-20 14:30:00,18993.19,19113.92,18878.1,19069.58,10679.81062
1663686000,2022-09-20 15:00:00,19068.55,19179.82,19048.39,19083.11,9444.23272
1663687800,2022-09-20 15:30:00,19081.73,19269.17,18989.86,19238.1,8850.8285
1663752600,2022-09-21 09:30:00,18876.91,19029.72,18872.91,18997.66,6707.08301
1663754400,2022-09-21 10:00:00,18998.34,19028.64,18969.94,19001.39,4768.35734
1663756200,2022-09-21 10:30:00,19001.39,19154.96,18944.11,19103.65,8275.74197
1663758000,2022-09-21 11:00:00,19104.54,19132.23,19080.19,19110.93,5505.48188
1663759800,2022-09-21 11:30:00,19111.31,19205.93,19095.72,19165.93,6678.47035
1663761600,2022-09-21 12:00:00,19165.18,19184.59,19114.46,19180.97,5979.61402
1663763400,2022-09-21 12:30:00,19182.12,19282.8,19172.07,19247.78,8598.73904
1663765200,2022-09-21 13:00:00,19247.78,19309.85,19223.22,19277.17,7376.08878
1663767000,2022-09-21 13:30:00,19276.46,19339.41,19234.98,19271.55,9605.89036
1663768800,2022-09-21 14:00:00,19272.74,19475.73,19263.34,19462.74,9594.1888
1663770600,2022-09-21 14:30:00,19464.43,19477.77,19213.12,19253.29,10413.89988
1663772400,2022-09-21 15:00:00,19252.61,19278.77,19084.17,19184.12,9554.18712
1663774200,2022-09-21 15:30:00,19184.12,19311.12,19165.4,19191.17,7157.95951
1663839000,2022-09-22 09:30:00,19174.46,19204.37,19091.96,19179.81,6343.96934
1663840800,2022-09-22 10:00:00,19179.81,19225.47,19115.38,19202.45,6428.24315
1663842600,2022-09-22 10:30:00,19203.48,19243.77,19078.25,19149.56,6968.80943
1663844400,2022-09-22 11:00:00,19148.97,19170.29,19030.39,19043.61,8082.58384
1663846200,2022-09-22 11:30:00,19043.61,19272.06,19043.08,19229.81,9456.52347
1663848000,2022-09-22 12:00:00,19229.81,19278.87,19165.21,19190.43,9202.03753
1663849800,2022-09-22 12:30:00,19190.43,19317.66,19141.0,19203.61,9207.4581
1663851600,2022-09-22 13:00:00,19203.61,19221.26,19096.48,19113.66,7893.21407
1663853400,2022-09-22 13:30:00,19113.83,19176.98,18889.34,18903.67,13647.87511
1663855200,2022-09-22 14:00:00,18902.81,19073.5,18849.67,19023.56,12230.26771
1663857000,2022-09-22 14:30:00,19023.56,19060.0,18855.55,18880.22,9791.11676
1663858800,2022-09-22 15:00:00,18881.5,18958.32,18794.06,18946.68,9758.35757
1663860600,2022-09-22 15:30:00,18944.67,19026.58,18899.9,18986.89,8145.11079
1663925400,2022-09-23 09:30:00,19131.68,19137.64,18964.66,19083.78,9777.64635
1663927200,2022-09-23 10:00:00,19083.78,19121.15,19035.6,19085.36,7689.16173
1663929000,2022-09-23 10:30:00,19084.57,19115.89,18930.0,18964.41,8112.15153
1663930800,2022-09-23 11:00:00,18964.41,18994.9,18880.0,18948.83,9725.67384
1663932600,2022-09-23 11:30:00,18948.83,18955.47,18835.0,18862.72,8656.34183
1663934400,2022-09-23 12:00:00,18862.72,18956.98,18825.0,18924.87,8067.05107
1663936200,2022-09-23 12:30:00,18924.87,18935.58,18852.53,18896.74,6650.42856
1663938000,2022-09-23 13:00:00,18896.74,19077.02,18880.03,19023.61,8268.43782
1663939800,2022-09-23 13:30:00,19025.0,19042.17,18624.05,18641.04,13887.49472
1663941600,2022-09-23 14:00:00,18640.69,18689.11,18531.42,18688.29,14243.10885
1663943400,2022-09-23 14:30:00,18687.08,18749.02,18626.29,18674.45,12037.54707
1663945200,2022-09-23 15:00:00,18674.41,18796.06,18586.0,18768.82,11350.17603
1663947000,2022-09-23 15:30:00,18768.83,18855.0,18668.73,18711.86,11830.30042
1664011800,2022-09-24 09:30:00,19013.08,19050.01,18963.19,19025.51,3669.63312
1664013600,2022-09-24 10:00:00,19025.51,19069.01,19010.2,19056.11,3748.35884
1664015400,2022-09-24 10:30:00,19056.11,19057.05,18976.79,19038.11,4200.68353
1664017200,2022-09-24 11:00:00,19038.78,19094.85,19003.53,19070.69,4452.30273
1664019000,2022-09-24 11:30:00,19071.96,19097.39,19045.41,19051.63,3852.91158
1664020800,2022-09-24 12:00:00,19052.24,19091.66,19051.62,19072.74,3913.08634
1664022600,2022-09-24 12:30:00,19072.14,19200.0,19071.02,19154.29,6651.63926
1664024400,2022-09-24 13:00:00,19155.08,19225.92,19113.42,19134.24,6147.35996
1664026200,2022-09-24 13:30:00,19134.25,19177.61,19108.17,19119.75,4938.37485
1664028000,2022-09-24 14:00:00,19119.78,19140.17,19057.56,19118.22,5507.76372
1664029800,2022-09-24 14:30:00,19117.21,19135.0,19060.34,19085.36,5104.06932
1664031600,2022-09-24 15:00:00,19085.91,19114.77,19012.49,19050.42,5846.14203
1664033400,2022-09-24 15:30:00,19050.42,19127.56,19033.0,19124.14,4963.30723
1664098200,2022-09-25 09:30:00,19072.75,19082.67,19027.8,19041.88,3245.47215
1664100000,2022-09-25 10:00:00,19042.73,19066.3,18982.0,19059.2,3747.34842
1664101800,2022-09-25 10:30:00,19059.2,19103.59,19058.23,19069.47,2930.46737
1664103600,2022-09-25 11:00:00,19070.06,19110.65,19069.08,19101.02,3602.12802
1664105400,2022-09-25 11:30:00,19101.02,19180.21,19067.0,19117.94,4570.05819
1664107200,2022-09-25 12:00:00,19117.95,19144.23,19085.51,19092.65,4169.79912
1664109000,2022-09-25 12:30:00,19092.65,19114.67,19049.0,19087.88,3585.24867
1664110800,2022-09-25 13:00:00,19088.25,19089.19,18946.58,18956.58,5491.19934
1664112600,2022-09-25 13:30:00,18956.38,18982.89,18867.98,18934.88,6561.76315
1664114400,2022-09-25 14:00:00,18935.52,18939.42,18841.91,18886.08,4942.73413
1664116200,2022-09-25 14:30:00,18886.08,18958.3,18875.92,18916.39,4428.71214
1664118000,2022-09-25 15:00:00,18916.39,19009.98,18910.75,19003.2,3661.10817
1664119800,2022-09-25 15:30:00,19002.26,19010.06,18972.11,18988.74,2947.15669
1664184600,2022-09-26 09:30:00,19167.77,19197.94,19063.64,19082.72,12963.34262
1664186400,2022-09-26 10:00:00,19082.72,19185.15,19030.67,19184.77,11152.19784
1664188200,2022-09-26 10:30:00,19184.64,19187.34,19084.65,19093.17,9164.44241
1664190000,2022-09-26 11:00:00,19094.34,19122.4,18876.67,18896.91,11550.67263
1664191800,2022-09-26 11:30:00,18896.42,18904.58,18803.13,18876.62,11088.91787
1664193600,2022-09-26 12:00:00,18876.62,18948.81,18817.62,18926.34,10363.49142
1664195400,2022-09-26 12:30:00,18926.52,19147.51,18853.38,19094.36,14001.93829
1664197200,2022-09-26 13:00:00,19095.35,19134.0,19026.43,19057.83,11625.59738
1664199000,2022-09-26 13:30:00,19057.83,19239.78,19045.72,19191.11,16284.05403
1664200800,2022-09-26 14:00:00,19190.45,19280.0,19141.46,19239.95,13529.37347
1664202600,2022-09-26 14:30:00,19238.76,19264.33,19117.76,19136.64,11193.35047
1664204400,2022-09-26 15:00:00,19138.08,19147.65,19005.0,19028.58,10046.54725
1664206200,2022-09-26 15:30:00,19028.18,19126.52,18980.01,19113.48,10229.16579
1664271000,2022-09-27 09:30:00,20108.28,20219.83,20106.33,20182.53,10734.83974
1664272800,2022-09-27 10:00:00,20181.62,20275.86,20177.97,20266.64,10621.5689
1664274600,2022-09-27 10:30:00,20266.64,20283.09,20207.63,20221.67,8884.72739
1664276400,2022-09-27 11:00:00,20221.67,20285.76,20175.0,20224.7,10349.87225
1664278200,2022-09-27 11:30:00,20224.7,20338.39,20207.85,20229.26,11518.70227
1664280000,2022-09-27 12:00:00,20230.35,20385.86,20210.91,20265.1,11983.37711
1664281800,2022-09-27 12:30:00,20265.1,20366.33,20252.41,20270.88,11566.55742
1664283600,2022-09-27 13:00:00,20270.88,20275.26,20094.27,20124.95,14828.38328
1664285400,2022-09-27 13:30:00,20124.2,20346.75,20117.64,20194.88,16657.39191
1664287200,2022-09-27 14:00:00,20194.88,20238.97,20081.87,20131.24,16209.40789
1664289000,2022-09-27 14:30:00,20131.24,20239.75,20130.47,20204.36,14202.46369
1664290800,2022-09-27 15:00:00,20204.36,20252.9,20100.0,20117.38,12478.41492
1664292600,2022-09-27 15:30:00,20117.38,20164.56,19865.0,19887.73,14074.17186
1664357400,2022-09-28 09:30:00,18663.44,18685.71,18613.1,18652.02,9923.02211
1664359200,2022-09-28 10:00:00,18652.02,19029.28,18576.0,18959.84,20251.98888
1664361000,2022-09-28 10:30:00,18959.84,19155.08,18903.02,19004.44,15932.03885
1664362800,2022-09-28 11:00:00,19005.13,19043.52,18857.17,18918.54,12891.40403
1664364600,2022-09-28 11:30:00,18918.54,18987.0,18870.76,18955.43,10854.65053
1664366400,2022-09-28 12:00:00,18954.96,19062.99,18940.02,19012.99,12102.52422
1664368200,2022-09-28 12:30:00,19012.99,19127.46,18995.43,19072.62,10473.82517
1664370000,2022-09-28 13:00:00,19072.62,19181.38,19012.0,19145.97,11609.12391
1664371800,2022-09-28 13:30:00,19145.97,19200.0,19033.54,19122.95,14034.78845
1664373600,2022-09-28 14:00:00,19122.95,19300.0,19039.47,19296.66,14080.12242
1664375400,2022-09-28 14:30:00,19296.66,19477.62,19250.0,19382.25,18507.56684
1664377200,2022-09-28 15:00:00,19382.25,19500.0,19370.0,19422.43,13671.72132
1664379000,2022-09-28 15:30:00,19422.06,19500.0,19363.93,19487.79,13273.53541
1664443800,2022-09-29 09:30:00,19449.85,19506.66,19427.11,19481.33,6569.23276
1664445600,2022-09-29 10:00:00,19481.33,19492.11,19410.0,19417.2,5740.79691
1664447400,2022-09-29 10:30:00,19417.06,19496.17,19409.8,19438.44,4221.59349
1664449200,2022-09-29 11:00:00,19437.39,19550.0,19376.09,19486.27,8341.29719
1664451000,2022-09-29 11:30:00,19486.84,19541.0,19459.43,19463.04,6171.41579
1664452800,2022-09-29 12:00:00,19463.04,19476.16,19300.19,19380.12,10221.885
1664454600,2022-09-29 12:30:00,19380.12,19412.32,19127.81,19211.63,15988.16786
1664456400,2022-09-29 13:00:00,19211.63,19365.38,19183.35,19295.55,9588.94495
1664458200,2022-09-29 13:30:00,19294.89,19321.19,18917.0,18992.08,17100.40123
1664460000,2022-09-29 14:00:00,18993.22,18996.79,18843.01,18986.65,14575.96517
1664461800,2022-09-29 14:30:00,18986.65,19261.7,18935.8,19197.36,16866.69675
1664463600,2022-09-29 15:00:00,19197.36,19336.0,19163.81,19273.63,13976.89288
1664465400,2022-09-29 15:30:00,19272.8,19329.0,19229.96,19288.85,9076.53408
1664530200,2022-09-30 09:30:00,19550.62,19559.31,19491.11,19527.02,6370.81466
1664532000,2022-09-30 10:00:00,19528.02,19562.12,19474.93,19527.92,7502.86295
